,Parking,Swimming Pool,Restaurant,Room Service,Fitness Centre,Spa & Wellness Centre,Business Centre,Facilities for Disabled,Airport Shuttle,Non-smoking Rooms,Babysitting/Child Services,Meeting/Banquet Facilities,Car Rental,Breakfast Buffet,Bar/Lounge,Kids Activities,Game Room,Dry Cleaning,Valet Parking,name,rate,review,Highspeed Internet,Airconditioning,Safe/Vault,Tennis Court,Indoor Pool,Pet-friendly,Casino,Golfcourse,Beach Access,Ski-In Ski-Out
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,"Mandarin Oriental Al Faisaliah, Riyadh",8.6,5931 reviews,1.0,1.0,1.0,1.0,1.0,,,,0.0,0.0
101,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,Innyar Hotel,N/A,N/A,1.0,1.0,1.0,,,,,,0.0,0.0
102,1.0,,,,,,,,,1.0,,,,,,,,,,Amber Hospitality Izdihar,9.6,75 reviews,,,,,,,,,0.0,0.0
103,,,,,,,,,,,,,,,,,,,,Namar Home Serviced Suites,N/A,N/A,,,,,,,,,0.0,0.0
104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,Iris Boutique Granada,8.4,1474 reviews,1.0,1.0,1.0,,1.0,,,,0.0,0.0
105,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,Golden Ship Hotel,N/A,N/A,1.0,1.0,1.0,,1.0,,,,0.0,0.0
106,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,Hayat Alriyadh Washam Hotel,8.2,1679 reviews,1.0,1.0,1.0,,1.0,,,,0.0,0.0
107,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,Dorar Darea Hotel Apartments - Al Nafl,7.2,215 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
108,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,Al Farhan Hotel Suites Al Aqiq,N/A,N/A,1.0,1.0,1.0,,,,,,0.0,0.0
109,,,,1.0,,,,,,,,,,,,,,1.0,,Taleen AlSahafa Hotel Apartments,5.9,368 reviews,1.0,1.0,1.0,,,1.0,,,0.0,0.0
110,,,,,,,,,,,,,,,,,,,,Motiara Hotel - La Valle Mall,7.8,466 reviews,,1.0,,,,,,,0.0,0.0
111,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,Fairmont Riyadh,N/A,N/A,,,,,,,,,0.0,0.0
112,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,Seven Gardens Hotel,9.0,1072 reviews,1.0,1.0,,,1.0,,,,0.0,0.0
113,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,The Corner Chalets,8.1,236 reviews,,1.0,1.0,,,,,,0.0,0.0
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,voco Riyadh An IHG Hotel,9.0,5662 reviews,,,,,,,,,0.0,0.0
115,1.0,,,,,1.0,,,,1.0,,,,,,,,,,The O Tower Residence,N/A,N/A,,,1.0,,,,,,0.0,0.0
116,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,Grand Plaza Hotel - Dhabab Riyadh,8.3,1450 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
117,1.0,,,,,,,,,,,,,,,,,,,Amber,N/A,N/A,,,,,,,,,0.0,0.0
118,,,1.0,,,,,,,,,,,,,,,,,AlMuteb Suites Al mursalat,N/A,N/A,,1.0,,,,,,,0.0,0.0
119,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,Burj Alhayah Hotel Suites Olaya,8.2,208 reviews,1.0,1.0,,,,,,,0.0,0.0
120,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,Movenpick Hotel And Residences Riyadh,8.8,14178 reviews,,1.0,,,,,,,0.0,0.0
121,1.0,,,,,,,1.0,,,,,,,,,,,,Merfal Royal Apartment,7.0,316 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
122,1.0,,,,,,,1.0,,,,,,,,,,1.0,,AlMuhaidb Nadwaa Aparthotel,7.0,511 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
123,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,Melissa Hotel Riyadh,7.8,648 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
124,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,Shaza Riyadh,8.3,1889 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
125,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,Al Muteb Suites Al Ezdehar 2,7.0,497 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
126,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,Al Muteb Suites Al Ezdehar 2,7.0,497 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
127,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,Rest Night Hotel Apartment,N/A,N/A,1.0,1.0,1.0,,1.0,,,,0.0,0.0
128,,,,,,,,,,,,,,,,,,,,Villa Palma Compound,N/A,N/A,,,,,,,,,0.0,0.0
129,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,Rest Night Hotel Apartment,N/A,N/A,1.0,1.0,1.0,,1.0,,,,0.0,0.0
130,,,,,,,,,,,,,,,,,,,,Mabaat - Suitey Al Aqiq - 559,8.5,124 reviews,,,,,,,,,0.0,0.0
131,1.0,,,,,1.0,,,,,,,,,,,,,1.0,Hotel Vivian Park El Raed,N/A,N/A,,,,,,,,,0.0,0.0
132,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,Motiara Hotel – Al Murouj,7.1,426 reviews,1.0,1.0,1.0,,,,,,0.0,0.0
